year,iso_code,country,debt_type,prices,units,value
2016,MLI,Mali,Multilateral,constant,USD million,29.3566
2016,MMR,Myanmar,Multilateral,constant,USD million,0.9386
2016,MNE,Montenegro,Multilateral,constant,USD million,42.2892
2016,MNG,Mongolia,Multilateral,constant,USD million,104.0719
2016,MOZ,Mozambique,Multilateral,constant,USD million,11.1508
2016,MRT,Mauritania,Multilateral,constant,USD million,251.0341
2016,MUS,Mauritius,Multilateral,constant,USD million,45.4167
2016,MWI,Malawi,Multilateral,constant,USD million,4.7387
2016,NER,Niger,Multilateral,constant,USD million,51.1863
2016,NGA,Nigeria,Multilateral,constant,USD million,520.6695
2016,NIC,Nicaragua,Multilateral,constant,USD million,235.4251
2016,NPL,Nepal,Multilateral,constant,USD million,7.7168
2016,PAK,Pakistan,Multilateral,constant,USD million,2230.7886
2016,PER,Peru,Multilateral,constant,USD million,834.8507
2016,PHL,Philippines,Multilateral,constant,USD million,956.1212
2016,PNG,Papua New Guinea,Multilateral,constant,USD million,120.3858
2016,PRY,Paraguay,Multilateral,constant,USD million,383.0191
2016,RUS,Russian Federation,Multilateral,constant,USD million,79.0474
2016,RWA,Rwanda,Multilateral,constant,USD million,15.7511
2016,SDN,Sudan,Multilateral,constant,USD million,69.9515
2016,SEN,Senegal,Multilateral,constant,USD million,176.0217
2016,SLE,Sierra Leone,Multilateral,constant,USD million,3.6823
2016,SLV,El Salvador,Multilateral,constant,USD million,373.6602
2016,SRB,Serbia,Multilateral,constant,USD million,645.3554
2016,SUR,Suriname,Multilateral,constant,USD million,227.5493
2016,SWZ,Eswatini,Multilateral,constant,USD million,33.1063
2016,TCD,Chad,Multilateral,constant,USD million,51.9532
2016,TGO,Togo,Multilateral,constant,USD million,72.4584
2016,THA,Thailand,Multilateral,constant,USD million,2.8914
2016,TJK,Tajikistan,Multilateral,constant,USD million,34.8749
2016,TKM,Turkmenistan,Multilateral,constant,USD million,113.1588
2016,TLS,Timor-Leste,Multilateral,constant,USD million,21.7586
2016,TUN,Tunisia,Multilateral,constant,USD million,1170.7441
2016,TUR,Turkiye,Multilateral,constant,USD million,3120.713
2016,TZA,Tanzania,Multilateral,constant,USD million,23.1419
2016,UGA,Uganda,Multilateral,constant,USD million,19.5398
2016,UKR,Ukraine,Multilateral,constant,USD million,667.6163
2016,UZB,Uzbekistan,Multilateral,constant,USD million,414.6621
2016,VCT,St. Vincent and the Grenadines,Multilateral,constant,USD million,7.4004
2016,VNM,Viet Nam,Multilateral,constant,USD million,1293.1502
2016,WSM,Samoa,Multilateral,constant,USD million,3.0869
2016,XKX,Kosovo,Multilateral,constant,USD million,5.9316
2016,YEM,"Yemen, Rep.",Multilateral,constant,USD million,21.2421
2016,ZAF,South Africa,Multilateral,constant,USD million,549.728
2016,ZMB,Zambia,Multilateral,constant,USD million,53.3943
2016,ZWE,Zimbabwe,Multilateral,constant,USD million,15.1425
2017,AGO,Angola,Multilateral,constant,USD million,147.6929
2017,ALB,Albania,Multilateral,constant,USD million,291.042
2017,ARG,Argentina,Multilateral,constant,USD million,2954.8283
2017,ARM,Armenia,Multilateral,constant,USD million,345.5565
2017,AZE,Azerbaijan,Multilateral,constant,USD million,1598.8866
2017,BEN,Benin,Multilateral,constant,USD million,76.944
2017,BFA,Burkina Faso,Multilateral,constant,USD million,35.0293
2017,BGD,Bangladesh,Multilateral,constant,USD million,750.0954
2017,BGR,Bulgaria,Multilateral,constant,USD million,180.7905
2017,BIH,Bosnia and Herzegovina,Multilateral,constant,USD million,216.2014
2017,BLR,Belarus,Multilateral,constant,USD million,1051.87
2017,BLZ,Belize,Multilateral,constant,USD million,43.7114
2017,BOL,Bolivia,Multilateral,constant,USD million,1041.9281
2017,BRA,Brazil,Multilateral,constant,USD million,2339.2929
2017,BTN,Bhutan,Multilateral,constant,USD million,34.7202
2017,BWA,Botswana,Multilateral,constant,USD million,4.2418
2017,CHN,China,Multilateral,constant,USD million,3602.7349
2017,CIV,Cote d'Ivoire,Multilateral,constant,USD million,163.8936
2017,CMR,Cameroon,Multilateral,constant,USD million,284.5556
2017,COD,"Congo, Dem. Rep.",Multilateral,constant,USD million,233.9343
2017,COG,"Congo, Rep.",Multilateral,constant,USD million,370.5714
2017,COL,Colombia,Multilateral,constant,USD million,1441.6636
2017,CPV,Cabo Verde,Multilateral,constant,USD million,34.7073
2017,CRI,Costa Rica,Multilateral,constant,USD million,369.1207
2017,DJI,Djibouti,Multilateral,constant,USD million,22.0753
2017,DMA,Dominica,Multilateral,constant,USD million,1.607
2017,DOM,Dominican Republic,Multilateral,constant,USD million,237.0832
2017,ECU,Ecuador,Multilateral,constant,USD million,978.6806
2017,EGY,"Egypt, Arab Rep.",Multilateral,constant,USD million,5477.0034
2017,ETH,Ethiopia,Multilateral,constant,USD million,174.8784
2017,FJI,Fiji,Multilateral,constant,USD million,54.2343
2017,GAB,Gabon,Multilateral,constant,USD million,840.1462
2017,GEO,Georgia,Multilateral,constant,USD million,423.9724
2017,GHA,Ghana,Multilateral,constant,USD million,270.8473
2017,GIN,Guinea,Multilateral,constant,USD million,22.0206
2017,GMB,"Gambia, The",Multilateral,constant,USD million,35.4423
2017,GNB,Guinea-Bissau,Multilateral,constant,USD million,27.8899
2017,GRD,Grenada,Multilateral,constant,USD million,0.4604
2017,GTM,Guatemala,Multilateral,constant,USD million,62.0918
2017,GUY,Guyana,Multilateral,constant,USD million,34.9685
2017,HND,Honduras,Multilateral,constant,USD million,246.3041
2017,HTI,Haiti,Multilateral,constant,USD million,16.5351
2017,IDN,Indonesia,Multilateral,constant,USD million,1925.9036
2017,IND,India,Multilateral,constant,USD million,3528.6482
2017,IRN,"Iran, Islamic Rep.",Multilateral,constant,USD million,22.2216
2017,IRQ,Iraq,Multilateral,constant,USD million,138.3683
2017,JAM,Jamaica,Multilateral,constant,USD million,131.2511
2017,JOR,Jordan,Multilateral,constant,USD million,425.5165
2017,KAZ,Kazakhstan,Multilateral,constant,USD million,282.5068
2017,KEN,Kenya,Multilateral,constant,USD million,738.5926
2017,KGZ,Kyrgyz Republic,Multilateral,constant,USD million,21.2205
2017,KHM,Cambodia,Multilateral,constant,USD million,5.3456
2017,LAO,Lao PDR,Multilateral,constant,USD million,54.2289
2017,LBN,Lebanon,Multilateral,constant,USD million,345.2966
2017,LCA,St. Lucia,Multilateral,constant,USD million,11.1457
2017,LKA,Sri Lanka,Multilateral,constant,USD million,584.8506
